Time,Push,Pull
0.0,15,13
0.043478260869565216,15,14
0.08695652173913043,15,14
0.13043478260869565,15,15
0.17391304347826086,15,15
0.21739130434782608,15,15
0.2608695652173913,15,15
0.30434782608695654,15,15
0.34782608695652173,15,15
0.3913043478260869,15,15
0.43478260869565216,15,15
0.4782608695652174,13,15
0.5217391304347826,13,15
0.5652173913043478,12,15
0.6086956521739131,11,15
0.6521739130434783,11,13
0.6956521739130435,10,13
0.7391304347826086,9,13
0.7826086956521738,8,11
0.8260869565217391,8,10
0.8695652173913043,8,10
0.9130434782608695,9,9
0.9565217391304348,9,7
1.0,9,6
1.0434782608695652,9,5
1.0869565217391304,8,5
1.1304347826086956,7,5
1.1739130434782608,7,4
1.2173913043478262,7,4
1.2608695652173914,6,5
1.3043478260869565,5,5
1.3478260869565217,5,6
1.391304347826087,4,6
1.434782608695652,5,6
1.4782608695652173,6,6
1.5217391304347825,5,6
1.5652173913043477,5,6
1.608695652173913,5,6
1.6521739130434783,5,7
1.6956521739130435,5,7
1.7391304347826086,5,7
1.7826086956521738,4,7
1.826086956521739,3,8
1.8695652173913042,3,9
1.9130434782608696,2,10
1.9565217391304348,2,11
2.0,2,11
2.043478260869565,3,11
2.0869565217391304,3,11
2.130434782608696,4,12
2.1739130434782608,5,12
2.217391304347826,7,13
2.260869565217391,8,13
2.3043478260869565,9,13
2.3478260869565215,10,14
2.391304347826087,11,14
2.4347826086956523,13,15
2.4782608695652173,14,15
2.5217391304347827,15,15
2.5652173913043477,15,15
2.608695652173913,15,15
2.652173913043478,15,15
2.6956521739130435,15,15
2.7391304347826084,15,15
2.782608695652174,15,15
2.8260869565217392,15,15
2.869565217391304,15,15
2.9130434782608696,15,15
2.9565217391304346,15,15
3.0,15,15
